name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence,enrichment_status,manifest_version_added
Porter's Five Forces,,framework,management,"Industry profitability shaped by buyers, suppliers, entrants, substitutes, and rivalry.",organizing-schema,,high,enriched,v4
Porter's Generic Strategies,,framework,management,"Cost leadership, differentiation, and focus as the three viable competitive postures.",organizing-schema,,high,enriched,v4
Porter's Value Chain,,framework,management,Decomposes the firm into primary and support activities to locate sources of value.,organizing-schema,,high,enriched,v4
BCG Growth-Share Matrix,Boston Box,framework,management,"Classifies business units as Stars, Cash Cows, Question Marks, or Dogs.",organizing-schema,,high,enriched,v4
GE-McKinsey Nine-Box Matrix,,framework,management,Portfolio prioritization on industry attractiveness vs business unit strength.,organizing-schema,,high,enriched,v4
Ansoff Matrix,Product-Market Grid,framework,management,Maps growth strategies across existing/new products and existing/new markets.,organizing-schema,,high,enriched,v4
McKinsey 7S Framework,,framework,management,"Aligns strategy, structure, systems, shared values, skills, style, and staff.",organizing-schema,,high,enriched,v4
Blue Ocean Strategy,,framework,management,Create uncontested market space rather than compete in saturated 'red oceans.',organizing-schema,,high,enriched,v4
Disruptive Innovation Theory,,framework,management,Low-end and new-market entrants displace incumbents serving overshot customers.,organizing-schema,,high,enriched,v4
Jobs to Be Done,JTBD,framework,management,Customers 'hire' products to make progress on a job in a context.,organizing-schema,,high,enriched,v4
Lean Startup,,framework,management,Build-measure-learn loops with validated learning under extreme uncertainty.,organizing-schema,,high,enriched,v4
Business Model Canvas,BMC,framework,management,Nine-block visual schema for describing and iterating a business model.,organizing-schema,,high,enriched,v4
Value Proposition Canvas,VPC,framework,management,"Aligns customer pains, gains, and jobs to product features and benefits.",organizing-schema,,high,enriched,v4
Lean Canvas,,framework,management,Maurya's adaptation of the BMC for early-stage startups under high uncertainty.,organizing-schema,,high,enriched,v4
OKRs,Objectives and Key Results,framework,management,"Ambitious objectives paired with measurable key results, popularized by Grove and Doerr.",organizing-schema,,high,enriched,v4
Balanced Scorecard,BSC,framework,management,"Performance measurement across financial, customer, internal process, and learning perspectives.",organizing-schema,,high,enriched,v4
Wardley Mapping,,framework,management,Strategy via value-chain components plotted against evolutionary maturity.,organizing-schema,,high,enriched,v4
Theory of Constraints,TOC,framework,management,System throughput is governed by its single binding constraint at any time.,organizing-schema,,high,enriched,v4
Toyota Production System,"TPS, Lean Manufacturing",framework,management,"Eliminate waste through just-in-time, jidoka, and continuous improvement.",organizing-schema,,high,enriched,v4
Six Sigma,,framework,management,Reduce defects to 3.4 per million through statistical process control and DMAIC.,organizing-schema,,high,enriched,v4
Kaizen,,practice,management,Continuous incremental improvement involving everyone in an organization.,organizing-schema,,high,enriched,v4
Hoshin Kanri,Policy Deployment,framework,management,Cascading strategy deployment with catchball alignment between levels.,organizing-schema,,high,enriched,v4
Kotter's 8-Step Change Model,,framework,management,Sequential change leadership steps from urgency through anchoring in culture.,organizing-schema,,high,enriched,v4
