name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence,enrichment_status,manifest_version_added
PMBOK Guide,PMBOK; PMI Guide,framework,project management,"PMI's Project Management Body of Knowledge defining processes, knowledge areas, and the basis for the PMP certification.",regulatory-standard,,high,pending,v4.2
PRINCE2,Projects in Controlled Environments,framework,project management,AXELOS's process-based project management methodology widely used in UK government and international contexts.,regulatory-standard,,high,pending,v4.2
PRINCE2 Agile,,framework,project management,AXELOS framework composing PRINCE2 governance with agile delivery techniques drawn primarily from DSDM and Scrum.,regulatory-standard,,high,pending,v4.2
IPMA Competence Baseline,ICB,framework,project management,"International Project Management Association's competence-based framework for individual project, programme, and portfolio managers.",regulatory-standard,,high,pending,v4.2
ISO 21500,,framework,project management,"International standard providing guidance on project management concepts and processes, foundational to the ISO 21500 series.",regulatory-standard,,high,pending,v4.2
ISO 21502,,framework,project management,"International standard providing guidance on project management practices, replacing ISO 21500:2012 as the practice-focused standard.",regulatory-standard,,high,pending,v4.2
P3.express,,framework,project management,Open-license lightweight project management methodology designed for medium-sized organizations.,organizing-schema,,high,pending,v4.2
OPM3,Organizational Project Management Maturity Model,framework,project management,"PMI's framework assessing an organization's project management maturity across knowledge, assessment, and improvement domains.",regulatory-standard,,high,pending,v4.2
P3M3,Portfolio Programme Project Management Maturity Model,framework,project management,"AXELOS maturity model assessing organizational capability across portfolio, programme, and project management.",regulatory-standard,,high,pending,v4.2
Managing Successful Programmes,MSP,framework,project management,AXELOS programme management methodology for delivering transformational change through coordinated projects.,regulatory-standard,,high,pending,v4.2
Management of Risk,M_o_R,framework,project management,"AXELOS risk management methodology providing principles, approach, processes, and techniques across organizational levels.",regulatory-standard,,high,pending,v4.2
DSDM,Atern; Dynamic Systems Development Method,framework,project management,"Agile project delivery framework emphasizing fixed time and cost with variable scope, foundational to PRINCE2 Agile.",organizing-schema,,high,pending,v4.2
Crystal Methods,Crystal family,framework,computer science,"Cockburn's family of agile methodologies sized to project criticality and team size, ranging from Crystal Clear to Crystal Magenta.",organizing-schema,,high,pending,v4.2
Feature-Driven Development,FDD,framework,computer science,Iterative development methodology organized around designing and building client-valued features in short iterations.,organizing-schema,,high,pending,v4.2
Rational Unified Process,RUP,framework,computer science,"IBM's iterative software development process organized around inception, elaboration, construction, and transition phases.",organizing-schema,,high,pending,v4.2
Disciplined Agile,DA; DAD,framework,project management,"PMI's hybrid agile framework providing a toolkit of practices drawn from Scrum, Kanban, XP, and other sources.",regulatory-standard,,high,pending,v4.2
Nexus,,framework,computer science,Scrum.org's framework for scaling Scrum across multiple teams working on a single product.,organizing-schema,,high,pending,v4.2
Scrum at Scale,S@S,framework,computer science,Sutherland's framework for scaling Scrum across an organization through Scrum of Scrums and Executive Action Teams.,organizing-schema,,high,pending,v4.2
Critical Path Method,CPM,framework,engineering,Network analysis technique identifying the longest sequence of dependent activities and the project duration they determine.,formal-scientific,,high,pending,v4.2
PERT,Program Evaluation Review Technique,framework,engineering,Probabilistic project scheduling technique using three-point estimates to model activity duration uncertainty.,formal-scientific,,high,pending,v4.2
Critical Chain Project Management,CCPM,framework,project management,"Goldratt's application of Theory of Constraints to project management, replacing task-level safety with project-level buffers.",organizing-schema,,high,pending,v4.2
Earned Value Management,EVM,framework,project management,"Project performance measurement integrating scope, schedule, and cost; standardized in ANSI/EIA-748 and required in US federal contracting.",regulatory-standard,,high,pending,v4.2
Gantt Chart Methodology,,framework,project management,"Time-decomposition framework visualizing tasks as horizontal bars on a timeline, originating with Henry Gantt's industrial scheduling work.",organizing-schema,,high,pending,v4.2
Last Planner System,LPS,framework,engineering,"Lean construction scheduling framework emphasizing pull planning, weekly work plans, and learning from variance.",organizing-schema,,high,pending,v4.2
DoD 5000 Series,DoDI 5000,framework,project management,US Department of Defense's framework governing acquisition of weapons systems and other major defense programs.,regulatory-standard,,high,pending,v4.2
NASA NPR 7120.5,,framework,engineering,NASA Procedural Requirements governing program and project management for spaceflight and research.,regulatory-standard,,high,pending,v4.2
ICH-GCP,Good Clinical Practice,framework,medicine,"International Council for Harmonisation guidelines for the design, conduct, and reporting of clinical trials involving human subjects.",regulatory-standard,,high,pending,v4.2
Construction Manager at Risk,CMAR,framework,engineering,Construction project delivery method in which the construction manager commits to deliver within a guaranteed maximum price.,doctrinal-institutional,,high,pending,v4.2
Integrated Project Delivery,IPD,framework,engineering,"Collaborative construction project delivery method aligning contracts, risk-sharing, and team integration around shared outcomes.",organizing-schema,,high,pending,v4.2
Design-Bid-Build,,framework,engineering,"Traditional construction project delivery method with sequential design, competitive bidding, and construction phases under separate contracts.",doctrinal-institutional,,high,pending,v4.2
Design-Build,,framework,engineering,Construction project delivery method consolidating design and construction responsibilities under a single contract.,doctrinal-institutional,,high,pending,v4.2
Annales School,,framework,history,"French historical school emphasizing long-duration structural history (longue durée), mentalités, and social-scientific integration over event-history.",philosophical-tradition,,high,pending,v4.2
Marxist Historiography,Historical Materialism (history),framework,history,"Historical analysis treating class struggle, modes of production, and material conditions as the primary engines of historical change.",philosophical-tradition,,high,pending,v4.2
Whig History,Whig Interpretation,framework,history,"Progressivist historical narrative reading the past as inevitable advance toward present liberal institutions, named and critiqued by Herbert Butterfield.",philosophical-tradition,,high,pending,v4.2
Great Man Theory,,framework,history,Carlyle's view of history as fundamentally the biography of exceptional individuals; widely critiqued and largely abandoned in academic history.,philosophical-tradition,,high,pending,v4.2
Cambridge School,,framework,history,"Skinner and Pocock's contextualist approach to intellectual history, recovering historical meaning through linguistic and contextual reconstruction.",philosophical-tradition,,high,pending,v4.2
Microhistory,,framework,history,Italian historical school using detailed reconstruction of small-scale events and individuals to illuminate broader historical patterns.,philosophical-tradition,,high,pending,v4.2
Counterfactual History,What-If History,framework,history,Historical method using disciplined speculation about alternative outcomes to illuminate causation and contingency in actual events.,philosophical-tradition,,high,pending,v4.2
History from Below,People's History,framework,history,"Historical approach reconstructing the experiences and agency of ordinary people, workers, and marginalized groups rather than elites.",philosophical-tradition,,high,pending,v4.2
Postcolonial History,,framework,history,Historical approach critiquing colonial frameworks and recovering perspectives marginalized by colonial-era historiography.,philosophical-tradition,,high,pending,v4.2
Linguistic Turn,,framework,history,Hayden White's and others' framework treating historical writing as fundamentally narrative construction shaped by rhetorical and linguistic choices.,philosophical-tradition,,high,pending,v4.2
Big History,,framework,history,"David Christian's framework presenting history as a unified narrative from cosmic origins through the present, integrating multiple disciplines.",organizing-schema,,high,pending,v4.2
Environmental History,,framework,history,"Historical approach foregrounding human-environment interaction as a central driver of historical change, associated with Crosby and Worster.",philosophical-tradition,,high,pending,v4.2
Subaltern Studies,,framework,history,"South Asian historical school recovering the agency and consciousness of subaltern groups, originating with Ranajit Guha's collective.",philosophical-tradition,,high,pending,v4.2
Source Criticism,Quellenkritik,framework,history,"Niebuhr and Ranke's methodology for classifying and evaluating historical sources for authenticity, authority, and bias.",philosophical-tradition,,high,pending,v4.2
Prosopography,Collective Biography,framework,history,Historical method analyzing groups through systematic biographical data on their members to reveal social and political patterns.,structured-empirical,,high,pending,v4.2
Oral History Methodology,,framework,history,"Systematic recording, transcription, and analysis of personal testimony as historical evidence, especially for underdocumented populations.",structured-empirical,,high,pending,v4.2
Cliometrics,Quantitative Economic History,framework,history,"Application of quantitative methods and economic theory to historical analysis, foundational to modern economic history.",structured-empirical,,high,pending,v4.2
Comparative Historical Analysis,,framework,history,Skocpol and Tilly's methodology systematically comparing historical cases to identify causal patterns in macro-social processes.,structured-empirical,,high,pending,v4.2
Hegelian Dialectic,Dialectical Method,framework,philosophy,"Hegel's framework of historical and conceptual development through thesis-antithesis-synthesis, foundational to subsequent dialectical traditions.",philosophical-tradition,,high,pending,v4.2
Vico's Corsi e Ricorsi,Vichian Cycles,framework,history,"Giambattista Vico's cyclical theory of historical recurrence through ages of gods, heroes, and men, articulated in the New Science.",philosophical-tradition,,high,pending,v4.2
Spenglerian Cycles,Decline of the West,framework,history,Oswald Spengler's morphological theory treating civilizations as organic entities with predictable life cycles of growth and decline.,philosophical-tradition,,high,pending,v4.2
Toynbee's Civilizations,Challenge and Response,framework,history,Arnold Toynbee's framework analyzing twenty-one civilizations through their responses to environmental and historical challenges.,philosophical-tradition,,high,pending,v4.2
Kondratiev Waves,K-waves; Long Waves,framework,economics,"Approximately fifty-year economic cycles theorized by Nikolai Kondratiev, later integrated with Schumpeterian innovation theory.",structured-empirical,Empirical evidence for the cycle's regularity is contested; the framework has been more influential in heterodox economics than in mainstream macroeconomics.,high,pending,v4.2
Demographic Transition Theory,,framework,sociology,"Stage model describing how populations move from high birth and death rates to low rates as societies industrialize, associated with Notestein.",structured-empirical,,high,pending,v4.2
Malthusian Trap,Malthusian Catastrophe,framework,economics,"Thomas Malthus's theory that population growth eventually outpaces food production, producing recurring crises of subsistence.",structured-empirical,Strong-form predictions have been substantially falsified in modern economies; weak-form applications to pre-industrial societies remain influential through the Clark hypothesis and unified growth theory.,high,pending,v4.2
Hayden White's Tropics,Metahistory,framework,history,"Hayden White's framework analyzing historical writing through four master tropes (metaphor, metonymy, synecdoche, irony) governing emplotment.",philosophical-tradition,,high,pending,v4.2
Theosophy,Blavatskian Theosophy,framework,theology,"Blavatsky's synthetic spiritual system describing hidden masters, root races, and planes of existence; foundational to modern Western esotericism.",esoteric-tradition,"Specific historical and metaphysical claims (root races, hidden masters in Tibet) have no empirical support and the framework's race-evolutionary apparatus has been criticized as proto-racialist; influence on later esoteric movements is nonetheless substantial.",high,pending,v4.2
Anthroposophy,Steinerism,framework,theology,"Rudolf Steiner's spiritual science framework describing spiritual hierarchies, etheric and astral bodies, and karmic evolution; basis of Waldorf education and biodynamic agriculture.",esoteric-tradition,Specific spiritual-scientific claims have no empirical support; Waldorf education and biodynamic agriculture have practitioner adoption but limited rigorous evidence base for their distinctive claims.,high,pending,v4.2
Hermeticism,Corpus Hermeticum tradition,framework,theology,"Western esoteric tradition descending from late-antique Greek-Egyptian texts attributed to Hermes Trismegistus, organized around principles like 'as above, so below' and the seven Hermetic principles.",esoteric-tradition,,high,pending,v4.2
Hermetic Qabalah,Western Qabalah,framework,theology,"Western occult adaptation of Jewish Kabbalistic Tree of Life integrated with Hermetic, Tarot, and astrological correspondences; distinct from traditional Jewish Kabbalah.",esoteric-tradition,"Often conflated with traditional Jewish Kabbalah but represents a substantially different tradition with different sources, practitioners, and aims.",high,pending,v4.2
Thelema,Crowleyan Thelema,framework,theology,Aleister Crowley's spiritual system organized around the Law of Thelema ('Do what thou wilt') and the doctrine of True Will.,esoteric-tradition,,high,pending,v4.2
Rosicrucianism,,framework,theology,Western esoteric tradition originating in early-17th-century manifestos and continued through modern organizations like AMORC and the Rosicrucian Fellowship.,esoteric-tradition,"Contemporary Rosicrucian organizations differ substantially in lineage, practice, and authority; the original manifesto authors remain unidentified.",high,pending,v4.2
Neo-Platonic Emanation,Plotinian Cosmology,framework,philosophy,"Plotinus's cosmological framework of reality emanating from the One through the Nous (Intellect) and Soul down to matter; profoundly influential on Christian, Islamic, and Jewish mystical traditions.",philosophical-tradition,,high,pending,v4.2
Gnosticism,,framework,theology,Late-antique religious tradition organized around the demiurge-pleroma-sophia cosmology and salvation through gnosis (direct knowledge of divine reality).,esoteric-tradition,,high,pending,v4.2
Fourth Way,Gurdjieff Work,framework,theology,"Gurdjieff and Ouspensky's framework integrating self-remembering, the three centers, and the enneagram of process (distinct from the personality enneagram) toward conscious development.",esoteric-tradition,Gurdjieff's source claims (Sarmoung Brotherhood) are unverifiable; the system's effectiveness claims rest on practitioner testimony rather than empirical evaluation.,high,pending,v4.2
A Course in Miracles,ACIM,framework,theology,"Helen Schucman's spiritual text and curriculum synthesizing Christian language with Vedantic non-dualism, organized around the distinction between the ego and the Holy Spirit.",esoteric-tradition,,high,pending,v4.2
Swedenborgianism,New Church teachings,framework,theology,"Emanuel Swedenborg's framework of correspondences between spiritual and natural worlds; influential on Blake, Emerson, James, and Borges.",esoteric-tradition,,high,pending,v4.2
The White Goddess,Triple Goddess Archetype,framework,narrative studies,Robert Graves's mythopoetic framework arguing for a single triple-goddess archetype underlying European mythology and poetic inspiration.,philosophical-tradition,"Specific historical claims about pre-Christian European goddess religion have been rejected by mainstream classical scholarship; influence on second-wave feminism, neopaganism, and Joseph Campbell is nonetheless substantial.",high,pending,v4.2
Orgone Theory,Orgonomy,framework,psychology,Wilhelm Reich's theory of a universal life-force energy claimed to be physically measurable and accumulable through specially constructed devices.,organizing-schema,Specific empirical claims about orgone energy have been comprehensively rejected by physics; orgone accumulators were prohibited by FDA injunction in 1954. The framework persists primarily in alternative-medicine and esoteric contexts rather than physics or contemplative practice.,high,pending,v4.2
Family Constellations,Hellinger Constellations; Knowing Field,framework,psychology,Bert Hellinger's therapeutic methodology using group representation of family members to surface and resolve transgenerational dynamics.,organizing-schema,No rigorous empirical support for the methodology's distinctive claims about systemic transmission; some clinical adoption in continental European contexts but not widely accepted in mainstream psychotherapy.,high,pending,v4.2
Principled Negotiation,Harvard Negotiation Project method,framework,negotiation,"Fisher and Ury's framework separating people from problem, focusing on interests rather than positions, generating options, and using objective criteria.",organizing-schema,,high,pending,v4.2
BATNA,Best Alternative to a Negotiated Agreement,tool,negotiation,"Fisher and Ury's concept of one's best fallback option outside the current negotiation, used as the threshold for accepting any agreement.",organizing-schema,,high,pending,v4.2
ZOPA,Zone of Possible Agreement,tool,negotiation,The range between parties' reservation prices within which any agreement is mutually acceptable.,organizing-schema,,high,pending,v4.2
Integrative vs Distributive Bargaining,Mutual Gains vs Win-Lose,framework,negotiation,Walton and McKersie's foundational distinction between negotiations expanding joint value and negotiations dividing fixed value.,structured-empirical,,high,pending,v4.2
Thomas-Kilmann Conflict Mode Instrument,TKI,framework,psychology,"Five-mode framework for conflict-handling styles: competing, collaborating, compromising, avoiding, accommodating.",organizing-schema,Empirical support is moderate; the instrument's psychometric properties are weaker than its widespread organizational use suggests.,high,pending,v4.2
