name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence
Porter's Five Forces,,framework,management,"Industry profitability shaped by buyers, suppliers, entrants, substitutes, and rivalry.",organizing-schema,,high
Porter's Generic Strategies,,framework,management,"Cost leadership, differentiation, and focus as the three viable competitive postures.",organizing-schema,,high
Porter's Value Chain,,framework,management,Decomposes the firm into primary and support activities to locate sources of value.,organizing-schema,,high
BCG Growth-Share Matrix,Boston Box,framework,management,"Classifies business units as Stars, Cash Cows, Question Marks, or Dogs.",organizing-schema,,high
GE-McKinsey Nine-Box Matrix,,framework,management,Portfolio prioritization on industry attractiveness vs business unit strength.,organizing-schema,,high
Ansoff Matrix,Product-Market Grid,framework,management,Maps growth strategies across existing/new products and existing/new markets.,organizing-schema,,high
McKinsey 7S Framework,,framework,management,"Aligns strategy, structure, systems, shared values, skills, style, and staff.",organizing-schema,,high
Blue Ocean Strategy,,framework,management,Create uncontested market space rather than compete in saturated 'red oceans.',organizing-schema,,high
Disruptive Innovation Theory,,framework,management,Low-end and new-market entrants displace incumbents serving overshot customers.,organizing-schema,,high
Jobs to Be Done,JTBD,framework,management,Customers 'hire' products to make progress on a job in a context.,organizing-schema,,high
Lean Startup,,framework,management,Build-measure-learn loops with validated learning under extreme uncertainty.,organizing-schema,,high
Business Model Canvas,BMC,framework,management,Nine-block visual schema for describing and iterating a business model.,organizing-schema,,high
Value Proposition Canvas,VPC,framework,management,"Aligns customer pains, gains, and jobs to product features and benefits.",organizing-schema,,high
Lean Canvas,,framework,management,Maurya's adaptation of the BMC for early-stage startups under high uncertainty.,organizing-schema,,high
OKRs,Objectives and Key Results,framework,management,"Ambitious objectives paired with measurable key results, popularized by Grove and Doerr.",organizing-schema,,high
Balanced Scorecard,BSC,framework,management,"Performance measurement across financial, customer, internal process, and learning perspectives.",organizing-schema,,high
Wardley Mapping,,framework,management,Strategy via value-chain components plotted against evolutionary maturity.,organizing-schema,,high
Theory of Constraints,TOC,framework,management,System throughput is governed by its single binding constraint at any time.,organizing-schema,,high
Toyota Production System,"TPS, Lean Manufacturing",framework,management,"Eliminate waste through just-in-time, jidoka, and continuous improvement.",organizing-schema,,high
Six Sigma,,framework,management,Reduce defects to 3.4 per million through statistical process control and DMAIC.,organizing-schema,,high
Kaizen,,practice,management,Continuous incremental improvement involving everyone in an organization.,organizing-schema,,high
Hoshin Kanri,Policy Deployment,framework,management,Cascading strategy deployment with catchball alignment between levels.,organizing-schema,,high
Kotter's 8-Step Change Model,,framework,management,Sequential change leadership steps from urgency through anchoring in culture.,organizing-schema,,high
Lewin's Change Model,Unfreeze-Change-Refreeze,framework,management,Three-stage model of behavioral change at individual or organizational level.,organizing-schema,,high
ADKAR,,framework,management,"Awareness, Desire, Knowledge, Ability, Reinforcement — Prosci's individual-change model.",organizing-schema,,high
Bridges' Transition Model,,framework,management,"Distinguishes external change from internal psychological transition through endings, neutral zone, beginnings.",organizing-schema,,high
Greiner's Growth Model,,framework,management,Predictable phases of organizational growth punctuated by crises.,organizing-schema,,high
Tuckman's Stages,Forming-Storming-Norming-Performing,framework,management,Stage model of small-group development including the later-added 'adjourning.',organizing-schema,Widely cited but limited rigorous empirical validation of discrete stages.,high
Theory X and Theory Y,,framework,management,McGregor's contrasting assumptions about whether workers inherently dislike or seek work.,organizing-schema,Useful framing of managerial assumptions; not empirically validated as a typology.,high
Herzberg's Two-Factor Theory,Motivation-Hygiene Theory,framework,management,Distinguishes hygiene factors that prevent dissatisfaction from motivators that drive satisfaction.,organizing-schema,Influential but the two-factor structure has not been replicated in subsequent research.,high
Hofstede's Cultural Dimensions,,framework,management,"Six dimensions for comparing national cultures, originally derived from IBM survey data.",organizing-schema,Influential but methodologically critiqued; original sample (IBM employees) and dimensional structure have been challenged.,high
Trompenaars' Cultural Dimensions,Seven Dimensions of Culture,framework,management,"Alternative cross-cultural framework emphasizing relationships, time, and environment.",organizing-schema,,high
Management by Objectives,MBO,framework,management,Drucker's approach: align managers and employees through agreed measurable objectives.,organizing-schema,,high
Mintzberg's Management Roles,,framework,management,"Ten managerial roles grouped as interpersonal, informational, and decisional.",organizing-schema,,high
Mintzberg's Configurations,,framework,management,"Five organizational structures from simple to adhocracy, defined by coordination mechanism.",organizing-schema,,high
SWOT Analysis,,tool,management,"Surfaces strengths, weaknesses, opportunities, and threats for a venture or decision.",organizing-schema,,high
PESTLE Analysis,"PEST, PESTEL, STEEPLE",tool,management,"Scans Political, Economic, Social, Technological, Legal, and Environmental factors.",organizing-schema,,high
VRIO Framework,,framework,management,"Tests resources for Value, Rarity, Imitability, and Organization to find sustained advantage.",organizing-schema,,high
Resource-Based View,RBV,framework,management,"Competitive advantage stems from valuable, rare, inimitable, organized internal resources.",organizing-schema,,high
Dynamic Capabilities,,framework,management,"Teece's view of advantage from sensing, seizing, and reconfiguring assets in changing environments.",organizing-schema,,high
Stakeholder Theory,,framework,management,"Freeman's argument that firms must serve all affected parties, not just shareholders.",organizing-schema,,high
Triple Bottom Line,"TBL, 3BL",framework,management,"Performance measured across people, planet, and profit dimensions.",organizing-schema,,high
Three Horizons Model,,framework,management,"McKinsey portfolio model balancing core, emerging, and exploratory growth initiatives.",organizing-schema,,high
Holacracy,,framework,management,Self-management system replacing traditional hierarchy with distributed authority and circles.,organizing-schema,,high
Sociocracy,Dynamic Governance,framework,management,Consent-based governance through linked circles of decision-making.,organizing-schema,,high
Pyramid Principle,Minto Pyramid,framework,management,"Top-down communication structure starting with the answer, supported by grouped arguments.",organizing-schema,,high
Strategy Canvas,,tool,management,Blue Ocean visual contrasting an industry's value-curve to identify reinvention opportunities.,organizing-schema,,high
RACI Matrix,,tool,management,"Clarifies who is Responsible, Accountable, Consulted, and Informed for each task.",organizing-schema,,high
DACI,,tool,management,"Driver, Approver, Contributors, Informed — decision-roles variant of RACI.",organizing-schema,,high
Eisenhower Matrix,Urgent-Important Matrix,tool,management,Sorts tasks into four quadrants by urgency and importance.,organizing-schema,,high
MoSCoW,,tool,management,"Prioritizes requirements as Must, Should, Could, or Won't have.",organizing-schema,,high
RICE Scoring,,tool,management,"Prioritizes features by Reach, Impact, Confidence, and Effort.",organizing-schema,,high
ICE Scoring,,tool,management,"Prioritizes ideas on Impact, Confidence, and Ease — simpler RICE precursor.",organizing-schema,,high
Kano Model,,framework,management,"Classifies features as basic, performance, or delighters by their effect on customer satisfaction.",organizing-schema,,high
Pareto Analysis,80/20 Rule,tool,management,Identifies the vital few inputs accounting for the majority of outputs.,organizing-schema,,high
Pugh Matrix,Decision Matrix,tool,management,Concept selection by scoring alternatives against weighted criteria relative to a baseline.,organizing-schema,,high
After Action Review,AAR,practice,management,"Structured reflection on what was intended, what happened, why, and what to do next.",organizing-schema,,high
Premortem,,technique,management,Imagine the project has failed and work backward to prevent the causes.,organizing-schema,,high
Five Whys,5 Whys,technique,management,"Iteratively ask 'why' to drill from symptom to root cause, originating in Toyota's TPS.",organizing-schema,,high
Fishbone Diagram,"Ishikawa Diagram, Cause-and-Effect Diagram",tool,management,"Visual root-cause analysis grouping causes under categories like people, process, materials.",organizing-schema,,high
Six Thinking Hats,,technique,management,De Bono's parallel-thinking method using six distinct perspective 'hats.',organizing-schema,,high
Lateral Thinking,,framework,management,De Bono's approach to generating ideas by deliberately disrupting linear logic.,organizing-schema,,high
SCAMPER,,technique,management,"Idea-generation prompts: Substitute, Combine, Adapt, Modify, Put to other use, Eliminate, Reverse.",organizing-schema,,high
TRIZ,Theory of Inventive Problem Solving,framework,engineering,"Altshuller's pattern-based system for technical innovation, drawn from millions of patents.",organizing-schema,,high
Mind Mapping,,technique,management,Buzan's radial visual technique for non-linear note-taking and brainstorming.,organizing-schema,,high
Affinity Diagram,KJ Method,technique,management,Group disparate ideas into emergent themes by intuitive sorting.,organizing-schema,,high
Force Field Analysis,,tool,management,Lewin's mapping of driving and restraining forces around a proposed change.,organizing-schema,,high
Decision Tree Analysis,,tool,management,"Branching diagram of choices, chance events, and outcomes with associated values.",organizing-schema,,high
Stage-Gate Process,Phase-Gate,framework,management,Cooper's product-development model with go/kill decisions between defined stages.,organizing-schema,,high
DMAIC,,framework,management,"Six Sigma improvement cycle: Define, Measure, Analyze, Improve, Control.",organizing-schema,,high
DMADV,,framework,management,"Six Sigma design cycle: Define, Measure, Analyze, Design, Verify.",organizing-schema,,high
Total Quality Management,TQM,framework,management,Organization-wide focus on continuous quality improvement with customer at the center.,organizing-schema,,high
Quality Function Deployment,"QFD, House of Quality",framework,engineering,Translates customer requirements into engineering specifications via matrix analysis.,organizing-schema,,high
Poka-Yoke,Mistake-Proofing,technique,engineering,Design constraints that make errors impossible or immediately obvious.,organizing-schema,,high
Hedgehog Concept,,framework,management,"Collins' intersection of passion, economic engine, and what-you-can-be-best-at.",organizing-schema,,high
Level 5 Leadership,,framework,management,Collins' hierarchy of executive capability culminating in humility plus fierce resolve.,organizing-schema,,high
Five Dysfunctions of a Team,,framework,management,"Lencioni's pyramid: absence of trust, fear of conflict, lack of commitment, avoidance of accountability, inattention to results.",organizing-schema,,high
Situational Leadership,,framework,management,Hersey-Blanchard model matching leadership style to follower readiness.,organizing-schema,,high
Servant Leadership,,framework,management,Greenleaf's leadership philosophy where the leader's primary role is to serve.,organizing-schema,,high
Transformational Leadership,,framework,management,"Bass and Burns model emphasizing inspiration, intellectual stimulation, and individualized consideration.",organizing-schema,,high
4Ps of Marketing,Marketing Mix,framework,marketing,"McCarthy's product, price, place, promotion as the four levers of marketing.",organizing-schema,,high
7Ps of Marketing,Extended Marketing Mix,framework,marketing,"Booms and Bitner's extension adding people, process, and physical evidence for services.",organizing-schema,,high
4Cs of Marketing,,framework,marketing,"Lauterborn's customer-centric reframe: consumer, cost, convenience, communication.",organizing-schema,,high
AIDA,,framework,marketing,"Attention, Interest, Desire, Action — classic linear advertising response model.",organizing-schema,,high
AIDAS,,framework,marketing,AIDA extended with Satisfaction to capture post-purchase loyalty.,organizing-schema,,high
STP,Segmentation Targeting Positioning,framework,marketing,"Sequential approach: segment market, target chosen segments, position offering distinctively.",organizing-schema,,high
Marketing Funnel,Purchase Funnel,framework,marketing,Awareness through purchase as a narrowing pipeline of prospects.,organizing-schema,,high
Pirate Metrics,AARRR,framework,marketing,"McClure's Acquisition, Activation, Retention, Referral, Revenue lifecycle for startups.",organizing-schema,,high
Crossing the Chasm,Technology Adoption Lifecycle,framework,marketing,Moore's adaptation showing the gap between early adopters and early majority.,organizing-schema,,high
Diffusion of Innovations,,framework,sociology,"Rogers' S-curve model of how innovations spread through innovators, adopters, and laggards.",structured-empirical,,high
StoryBrand,SB7,framework,marketing,"Donald Miller's seven-part brand-narrative framework casting customer as hero, brand as guide.",organizing-schema,,high
Net Promoter Score,NPS,tool,marketing,Single-question loyalty measure based on likelihood to recommend.,organizing-schema,,high
Customer Lifetime Value,"CLV, LTV",tool,marketing,Projected revenue from a customer relationship over its entire duration.,organizing-schema,,high
RFM Analysis,Recency Frequency Monetary,tool,marketing,"Customer segmentation by how recently, how often, and how much they purchased.",organizing-schema,,high
Means-End Theory,Means-End Chain,framework,marketing,Links product attributes to consumer values through a chain of consequences.,organizing-schema,,high
Ehrenberg-Bass Laws,How Brands Grow,framework,marketing,"Empirical regularities in buying behavior, including double jeopardy and brand penetration.",organizing-schema,,high
Customer Journey Mapping,,tool,marketing,"Visualizes a customer's stages, touchpoints, emotions, and pain points across an experience.",organizing-schema,,high
Empathy Map,,tool,marketing,"Visual organizing what a user says, thinks, does, and feels.",organizing-schema,,high
Personas,"User Personas, Buyer Personas",tool,marketing,Composite fictional representatives of target user segments used to ground design and marketing.,organizing-schema,,high
Hooked Model,Hook Canvas,framework,marketing,Eyal's trigger-action-reward-investment loop for habit-forming products.,organizing-schema,,high
Fogg Behavior Model,B=MAT,framework,psychology,"Behavior occurs when motivation, ability, and prompt converge simultaneously.",structured-empirical,,high
Big Five,"OCEAN, CANOE, Five-Factor Model",framework,psychology,"Five dimensions of personality: Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism.",structured-empirical,,high
HEXACO,,framework,psychology,Six-factor personality model adding Honesty-Humility to the Big Five.,structured-empirical,,high
Myers-Briggs Type Indicator,MBTI,framework,psychology,Sixteen personality types from Jungian dichotomies; widely used despite weak psychometric support.,organizing-schema,Weak psychometric reliability and validity; rejected by mainstream personality psychology despite cultural penetration. Bimodal forced-choice on continuously distributed traits.,high
Enneagram,Enneagram of Personality,framework,psychology,"Nine interconnected personality types with wings, instincts, and integration arrows.",contemplative-tradition,Origins in Gurdjieff/Ichazo esoteric traditions; no peer-reviewed empirical validation. Often presented as if psychometrically validated when it is not.,high
DISC Assessment,,framework,psychology,"Behavioral typology along Dominance, Influence, Steadiness, and Conscientiousness.",organizing-schema,Modest psychometric support; substantially weaker than Five-Factor instruments.,high
CliftonStrengths,StrengthsFinder,framework,psychology,Gallup's 34 talent themes used for strengths-based development.,organizing-schema,Validation primarily from Gallup (proprietor); limited independent replication.,high
Hogan Personality Inventory,HPI,framework,psychology,Workplace personality assessment grounded in the Five-Factor Model.,structured-empirical,,high
Maslow's Hierarchy of Needs,,framework,psychology,"Pyramid from physiological needs through self-actualization, with self-transcendence later added.",organizing-schema,Core needs categories are useful but the strict hierarchy structure is not empirically supported.,high
Self-Determination Theory,SDT,framework,psychology,"Deci and Ryan's framework of autonomy, competence, and relatedness as basic psychological needs.",structured-empirical,,high
Attachment Theory,,framework,psychology,Bowlby and Ainsworth's framework of early bonds shaping internal working models of relationships.,structured-empirical,,high
Bowen Family Systems Theory,,framework,psychology,"Family as an emotional unit shaped by differentiation, triangles, and multigenerational transmission.",organizing-schema,Clinically influential; limited rigorous empirical validation.,high
Internal Family Systems,IFS,framework,psychology,"Schwartz's parts-based therapy model with managers, exiles, firefighters, and the Self.",organizing-schema,Emerging clinical support but evidence base remains thinner than CBT or DBT.,high
Polyvagal Theory,,framework,psychology,"Porges' theory of three vagal pathways governing safety, mobilization, and shutdown.",organizing-schema,Therapeutic adoption is broad but underlying neurophysiology has been seriously challenged in mainstream physiology (Grossman and others).,high
Transactional Analysis,TA,framework,psychology,"Berne's framework of Parent, Adult, and Child ego states transacting in relationships.",organizing-schema,Some clinical use; limited contemporary empirical validation.,high
Cognitive Behavioral Therapy,CBT,framework,psychology,"Beck's framework linking thoughts, feelings, and behaviors as targets for change.",structured-empirical,,high
Dialectical Behavior Therapy,DBT,framework,psychology,"Linehan's CBT extension adding mindfulness, distress tolerance, and emotion regulation.",structured-empirical,,high
Acceptance and Commitment Therapy,ACT,framework,psychology,Hayes' framework using acceptance and values clarification rather than symptom reduction.,structured-empirical,,high
Rational Emotive Behavior Therapy,REBT,framework,psychology,Ellis' precursor to CBT focused on disputing irrational beliefs.,structured-empirical,,high
Schema Therapy,,framework,psychology,Young's integrative therapy targeting early maladaptive schemas formed in childhood.,structured-empirical,,high
Jungian Analytical Psychology,,framework,psychology,"Jung's framework of personal and collective unconscious, archetypes, and individuation.",organizing-schema,Influential in depth psychology and culture; not validated within empirical psychology.,high
Jungian Archetypes,,framework,psychology,"Universal symbolic patterns including Self, Shadow, Anima/Animus, Hero, Mother.",organizing-schema,Not empirically grounded; useful as cultural and narrative scaffolding rather than psychological taxonomy.,high
King Warrior Magician Lover,KWML,framework,psychology,Moore and Gillette's masculine archetypes drawn from depth psychology.,organizing-schema,Derived from Jungian depth psychology; valuable for self-development work but not empirically validated.,high
Erikson's Stages,,framework,psychology,Eight psychosocial stages from trust vs mistrust through integrity vs despair.,structured-empirical,,high
Piaget's Stages,,framework,psychology,Four stages of cognitive development from sensorimotor through formal operations.,structured-empirical,,high
Kohlberg's Stages of Moral Development,,framework,psychology,"Six stages across pre-conventional, conventional, and post-conventional moral reasoning.",structured-empirical,,high
Zone of Proximal Development,ZPD,framework,psychology,Vygotsky's gap between what a learner can do alone and with guidance.,structured-empirical,,high
Social Learning Theory,,framework,psychology,"Bandura's account of learning through observation, modeling, and imitation.",structured-empirical,,high
Self-Efficacy Theory,,framework,psychology,Bandura's construct: belief in one's ability to execute behaviors needed for outcomes.,structured-empirical,,high
Locus of Control,,framework,psychology,Rotter's dimension contrasting internal vs external attribution of control over events.,structured-empirical,,high
Learned Helplessness,,framework,psychology,Seligman's account of passivity arising from repeated uncontrollable aversive events.,structured-empirical,,high
Positive Psychology,PERMA,framework,psychology,"Seligman's flourishing framework: Positive emotion, Engagement, Relationships, Meaning, Accomplishment.",structured-empirical,,high
Flow Theory,,framework,psychology,Csikszentmihalyi's optimal experience at the balance of challenge and skill.,structured-empirical,,high
Dual-Process Theory,System 1 / System 2,framework,psychology,"Two modes of cognition: fast intuitive and slow deliberative, popularized by Kahneman.",structured-empirical,,high
Cognitive Dissonance Theory,,framework,psychology,Festinger's account of discomfort from holding contradictory beliefs and motivated rationalization.,structured-empirical,,high
Theory of Planned Behavior,TPB,framework,psychology,"Ajzen's model: intention shaped by attitudes, norms, and perceived control.",structured-empirical,,high
Health Belief Model,HBM,framework,medicine,"Health behavior driven by perceived susceptibility, severity, benefits, and barriers.",structured-empirical,,high
Transtheoretical Model,Stages of Change,framework,psychology,"Prochaska and DiClemente's stages: precontemplation, contemplation, preparation, action, maintenance.",structured-empirical,,high
Motivational Interviewing,MI,framework,psychology,Miller and Rollnick's collaborative method for evoking change talk and resolving ambivalence.,structured-empirical,,high
Trauma-Informed Care,,framework,psychology,"Approach assuming widespread trauma and prioritizing safety, choice, collaboration, empowerment.",structured-empirical,,high
Job Demands-Resources Model,JD-R,framework,psychology,Demerouti and Bakker's framework explaining burnout and engagement at work.,structured-empirical,,high
Conservation of Resources Theory,COR,framework,psychology,Hobfoll's stress theory: people seek to acquire and protect valued resources.,structured-empirical,,high
Broaden-and-Build Theory,,framework,psychology,Fredrickson's theory that positive emotions broaden thought-action repertoires.,structured-empirical,,high
Karpman Drama Triangle,,framework,psychology,"Three relational roles in conflict: Persecutor, Victim, Rescuer.",organizing-schema,Clinically useful schema; not empirically tested as a falsifiable theory.,high
Choice Theory,Reality Therapy,framework,psychology,Glasser's framework of human behavior driven by five basic needs.,organizing-schema,Glasser's framework has practitioner adoption but limited rigorous empirical research.,high
Gottman Sound Relationship House,,framework,psychology,Empirically derived model of healthy couple relationships across nine levels.,structured-empirical,,high
Adlerian Individual Psychology,,framework,psychology,"Adler's framework emphasizing inferiority, social interest, and lifestyle.",organizing-schema,Influential in counseling traditions; limited contemporary empirical research.,high
Object Relations Theory,,framework,psychology,Psychoanalytic school focusing on internalized representations of self and others.,organizing-schema,Influential in clinical psychoanalysis; not amenable to standard empirical validation.,high
Self Psychology,,framework,psychology,Kohut's psychoanalytic framework centered on selfobject experiences and narcissistic development.,organizing-schema,Influential in clinical psychoanalysis; not amenable to standard empirical validation.,high
Heuristics and Biases Program,,framework,psychology,Kahneman and Tversky's research program cataloguing systematic deviations from rational judgment.,structured-empirical,,high
